no.,command,operand,remark
1,title,How to make python-matplotlib animations.,
2,wait,10,
3,balloon_up_clear,,
4,balloon_up,Hello world. I am Mecha.Python!,
5,greet,,
6,hi,,
7,wait,10,
8,balloon_up_append,I will introduce how to make python-matplotlib animations.,
9,wait,30,
10,board_clear,,
11,balloon_right_clear,,
12,presentation,,
13,pointing,,
14,board,# STEP 0,1
15,board_append,<Pyplot interface>,2
16,board_append,plt.figure(1),3
17,board_append,plt.subplot(111),4
18,board_append,"plt.plot(x, y)",5
19,board_append,,6
20,board_append,<Object oriented interface>,7
21,board_append,fig = plt.figure(),8
22,board_append,ax = fig.add_subplot(111),9
23,board_append,"pt, = ax.plot(x, y)",10
24,board_append,,
25,balloon_right,"I introduced ""ax.cla() and re-plot"" way to make an animation",
26,balloon_right_append,on previous program.,
27,balloon_right_append,"I will introduce ""object oriented interface"" on this program.",
28,wait,50,
29,balloon_right_clear,,
30,pointing,,
31,board,# STEP 1,1
32,board_append,import numpy as np,2
33,board_append,import matplotlib.pyplot as plt,3
34,board_append,,4
35,board_append,fig = plt.figure(),5
36,board_append,ax1 = fig.add_subplot(111),6
37,board_append,"x = np.linspace(0, 10, 100)",7
38,board_append,y = np.sin(x),8
39,board_append,"ax1.plot(x, y)",9
40,board_append,plt.show(),10
41,reset,,
42,balloon_right,Please code as above. (It's still not animation.),
43,balloon_right_append,It is same as the step1 of sample1.,
44,balloon_right_append,So I will pass to check the result.,
45,wait,50,
46,balloon_right_clear,,
47,pointing,,
48,board,# STEP 2,1
49,board_append,import numpy as np,2
50,board_append,import matplotlib.pyplot as plt,3
51,board_append,import matplotlib.animation as animation,4
52,board_append,,5
53,board_append,def update(f):,6
54,board_append,    y1 = np.sin(x - f),7
55,board_append,    sine_curve.set_ydata(y1),8
56,board_append,,9
57,balloon_right,Please modify as above. (To be continued.),
58,wait,30,
59,balloon_right_clear,,
60,board,# STEP 2 (continuation),1
61,board_append,fig = plt.figure(),2
62,board_append,ax1 = fig.add_subplot(111),3
63,board_append,ax1.grid(),4
64,board_append,"x = np.linspace(0, 10, 100)",5
65,board_append,y = np.sin(x),6
66,board_append,"sine_curve = ax1.plot(x, y)",7
67,board_append,,8
68,board_append,"anim = animation.FuncAnimation(fig, update, interval=100)",9
69,board_append,plt.show(),10
70,reset,,
71,balloon_right,Let's check the result!,
72,pause,,
73,eyes_color,gray,
74,balloon_right,>AttributeError:  'list' object has no attribute 'set_ydata',
75,balloon_right_append,"Oops, I got error!",
76,wait,30,
77,eyes_color,yellow,
78,balloon_right_clear,,
79,pointing,,
80,board,# STEP 3,1
81,board_append,<OK>,2
82,board_append,"sine_curve, = ax1.plot(x, y)  # With comma",3
83,board_append,,4
84,board_append,<NG>,5
85,board_append,"sine_curve = ax1.plot(x, y)  # Without comma",6
86,reset,,
87,balloon_right,"I missed comma at ""sine_curve"".",
88,balloon_right_append,"I revised ""sine_curve"" to ""sine_curve,"". Then....",
89,pause,,
90,ok,,
91,balloon_right,Completed!!!,
92,wait,30,
93,reset,,
94,balloon_right_clear,,
95,pointing,,
96,board,# Appendix,1
97,board_append,<Plot>,2
98,board_append,"pt, = ax.plot(x, y)  # With comma",3
99,board_append,and pt.set_ydata(new_y),4
100,board_append,<Text>,5
101,board_append,"txt = ax.text(x, y, 'AAA')  # Without comma",6
102,board_append,and line.set_text('BBB'),7
103,board_append,<Shape of patches (ex. circle)>,8
104,board_append,"c= patches.Circle(xy=(p), radius=1)  # Without comma",9
105,board_append,and c.set_center(new_p),10
106,balloon_right,"This way is faster than  ""clear and redraw way"".",
107,balloon_right_append,But you have to learn a lot of methods as like above.,
108,balloon_right_append,Please use suitable way dipending on the case.,
109,wait,50,
110,balloon_right,That's all for now.,
111,balloon_right_append,Thanks for watching. Bye bye !,
112,wait,10,
113,bye,,
114,show_ticks,,
115,wait,10,
116,show_grid,,
117,wait,10,
118,show_back_anime,,
119,EOF,,
